,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
274,Elevator Apartments,151800.0,1.0,7.0,110.0,110.0, ,YES,#6,8.2,82125.0,1986
275,Elevator Apartments,140628.0,1.0,6.0,130.0,130.0, , ,#6,8.4,82125.0,2000
276,Office Buildings,78551.0,2.0,6.0,78.0,78.0,YES, ,#6,8.4,82125.0,1994
277,Elevator Apartments,209920.0,1.0,14.0,160.0,160.0, ,YES,#6,6.6,82125.0,2007
278,Loft Buildings,1021752.0,11.0,6.0,948.0,955.0, , ,#6,10.5,82125.0,1996
279,Elevator Apartments,255000.0,2.0,19.0,256.0,256.0, ,YES,#6,8.2,82125.0,1995
280,Warehouses,107627.0,1.0,6.0,103.0,103.0, ,YES,#6,8.19,82125.0,1989
281,Elevator Apartments,124896.0,1.0,6.0,91.0,95.0, , ,#6,8.2,82125.0,1986
282,Office Buildings,154656.0,1.0,13.0,158.0,158.0, , ,#6,9.3,82125.0,1981
283,Walk-Up Apartments,92180.0,1.0,7.0,94.0,94.0, ,YES,#6,8.19,82125.0,1990
284,Elevator Apartments,101262.0,1.0,6.0,102.0,102.0, , ,#4,7.8,82125.0,1985
285,Elevator Apartments,122883.0,1.0,6.0,110.0,110.0, , ,#6,7.4,82125.0,1987
286,Elevator Apartments,249258.0,2.0,6.0,201.0,201.0, ,YES,#6,14.75,82125.0,1982
287,Walk-Up Apartments,123000.0,1.0,6.0,111.0,117.0, , ,#6,10.4,82100.0,1984
288,Elevator Apartments,148827.0,2.0,5.0,102.0,104.0, , ,#4,4.7,81899.0,1983
289,Elevator Apartments,62130.0,1.0,6.0,62.0,62.0, , ,#4,3.7,81760.0,1987
290,Walk-Up Apartments,65000.0,1.0,5.0,55.0,55.0, , ,#6,10.4,81030.0,1993
291,Elevator Apartments,138737.0,1.0,6.0,149.0,149.0, , ,#6,10.36,81030.0,1994
292,Walk-Up Apartments,65000.0,1.0,5.0,55.0,55.0, , ,#6,10.4,81030.0,1996
293,Condominiums,141508.0,1.0,6.0,100.0,107.0, , ,#6,10.5,81030.0,2001
294,Condominiums,48647.0,1.0,5.0,61.0,61.0, , ,#6,6.2,80724.0,1984
295,Elevator Apartments,45785.0,1.0,5.0,54.0,54.0, , ,#6,4.3,80538.0,1980
296,Walk-Up Apartments,45785.0,1.0,5.0,54.0,54.0, , ,#6,4.2,80538.0,1980
297,Walk-Up Apartments,115428.0,1.0,6.0,139.0,139.0, , ,#6,7.4,80483.0,1987
298,Hospitals & Health,95000.0,1.0,6.0,89.0,92.0, ,YES,#6,7.4,80483.0,1984
299,Elevator Apartments,82500.0,1.0,6.0,49.0,49.0, ,YES,#6,7.4,80483.0,1986
300,Elevator Apartments,112339.0,1.0,6.0,106.0,106.0, , ,#6,7.35,80483.0,1986
301,Elevator Apartments,88386.0,1.0,6.0,90.0,93.0, ,YES,#6,7.4,80483.0,1988
302,Walk-Up Apartments,94000.0,1.0,6.0,85.0,85.0, , ,#6,7.4,80483.0,1986
303,Elevator Apartments,87606.0,1.0,6.0,67.0,68.0, , ,#6,7.4,80483.0,1988
304,Elevator Apartments,88386.0,1.0,6.0,88.0,88.0, , ,#6,7.4,80482.0,1991
305,Walk-Up Apartments,150948.0,1.0,7.0,114.0,115.0, , ,#6,1.0,80000.0,1981
306,Walk-Up Apartments,129000.0,2.0,6.0,104.0,104.0, , ,#6,8.4,80000.0,1985
307,Elevator Apartments,45343.0,1.0,5.0,50.0,55.0, , ,#4,5.18,80000.0,1973
308,Elevator Apartments,58092.0,1.0,6.0,54.0,59.0, , ,#6,4.4,79400.0,1979
309,Office Buildings,107920.0,1.0,6.0,92.0,100.0, , ,#6,7.87,79076.0,1988
310,Elevator Apartments,116424.0,1.0,12.0,86.0,86.0, ,YES,#6,7.4,79076.0,1987
311,Walk-Up Apartments,153804.0,1.0,6.0,121.0,121.0, ,YES,#6,8.37,77855.0,2003
312,Elevator Apartments,117045.0,1.0,7.0,135.0,135.0, ,YES,#6,8.4,77198.0,2000
313,Walk-Up Apartments,92000.0,1.0,5.0,95.0,95.0, , ,#6,5.81,77000.0,1985
314,Hotels,251049.0,1.0,3.0,0.0,1.0, , ,#4,10.36,76960.0,1997
315,Elevator Apartments,113018.0,1.0,6.0,98.0,98.0, , ,#6,7.4,76650.0,1980
316,Office Buildings,69144.0,1.0,7.0,88.0,96.0, , ,#6,7.3,76650.0,1986
317,Walk-Up Apartments,141170.0,5.0,8.0,0.0,1.0, , ,#4,7.3,75920.0,1982
318,Elevator Apartments,98922.0,1.0,6.0,105.0,115.0, , ,#6,6.0,75768.0,1983
319,Elevator Apartments,48845.0,1.0,5.0,59.0,59.0, , ,#4,4.2,75118.0,1986
320,Elevator Apartments,107250.0,1.0,8.0,100.0,100.0, , ,#6,6.0,75000.0,1987
321,Elevator Apartments,109206.0,1.0,6.0,127.0,127.0, ,YES,#6,9.55,74679.0,1998
322,Elevator Apartments,136122.0,1.0,7.0,133.0,133.0, , ,#6,9.55,74679.0,1996
323,Elevator Apartments,65000.0,1.0,5.0,55.0,55.0, , ,#6,8.3,74679.0,2007
324,Walk-Up Apartments,153952.0,2.0,6.0,116.0,116.0, , ,#6,8.3,74679.0,2007
325,Walk-Up Apartments,175726.0,1.0,6.0,168.0,168.0, , ,#6,7.35,73912.0,1997
326,Elevator Apartments,89700.0,1.0,6.0,97.0,100.0, , ,#6,6.4,73912.0,1981
327,Condominiums,97500.0,1.0,6.0,86.0,89.0, , ,#6,8.19,73912.0,1994
328,Elevator Apartments,68982.0,1.0,6.0,69.0,78.0, , ,#6,7.35,73912.0,2001
329,Elevator Apartments,115904.0,3.0,5.0,126.0,139.0, , ,#6,8.96,73912.0,1997
330,Walk-Up Apartments,124805.0,1.0,6.0,103.0,103.0, , ,#6,8.19,73912.0,1988
331,Elevator Apartments,167000.0,2.0,16.0,142.0,142.0, ,YES,#6,7.35,73912.0,1992
332,Walk-Up Apartments,107473.0,1.0,4.0,0.0,1.0, , ,#4,11.2,73710.0,1994
333,Educational Structures,69600.0,1.0,6.0,75.0,75.0, , ,#6,6.27,73584.0,1987
334,Walk-Up Apartments,74830.0,1.0,7.0,57.0,61.0, , ,#6,6.27,73584.0,1987
335,Elevator Apartments,60840.0,1.0,5.0,44.0,44.0, , ,#6,6.27,73584.0,1987
336,Walk-Up Apartments,105060.0,1.0,6.0,79.0,79.0, , ,#6,5.6,73000.0,1978
337,Walk-Up Apartments,41000.0,2.0,5.0,54.0,55.0, , ,#6,4.2,73000.0,1987
338,Elevator Apartments,41760.0,1.0,6.0,39.0,39.0, , ,#4,2.8,73000.0,1987
339,Loft Buildings,92782.0,1.0,6.0,78.0,78.0, , ,#6,7.0,73000.0,1973
340,Elevator Apartments,48395.0,1.0,5.0,57.0,61.0, , ,#6,4.2,73000.0,1983
341,Elevator Apartments,56265.0,1.0,5.0,54.0,54.0, , ,#6,4.2,73000.0,1983
342,Elevator Apartments,132756.0,1.0,6.0,136.0,142.0, , ,#6,10.5,73000.0,1978
343,Warehouses,216720.0,1.0,16.0,185.0,185.0, ,YES,#6,14.7,72416.0,1984
344,Elevator Apartments,91620.0,1.0,6.0,72.0,72.0, , ,#6,6.3,71926.0,1981
345,Elevator Apartments,135250.0,1.0,12.0,157.0,157.0, ,YES,#6,9.55,71610.0,1995
346,Walk-Up Apartments,38288.0,1.0,5.0,53.0,54.0, , ,#6,7.28,71540.0,1969
347,Walk-Up Apartments,160000.0,2.0,6.0,120.0,120.0, ,YES,#6,9.47,71530.0,1995
348,Elevator Apartments,59446.0,1.0,6.0,54.0,54.0, , ,#6,5.09,71430.0,1978
349,Walk-Up Apartments,105000.0,1.0,7.0,92.0,92.0, ,YES,#6,8.4,70080.0,1986
350,Elevator Apartments,136465.0,2.0,6.0,123.0,126.0, , ,#6,7.77,70000.0,1991
351,Walk-Up Apartments,181700.0,1.0,6.0,130.0,131.0, ,YES,#6,12.6,70000.0,1985
352,Elevator Apartments,49034.0,1.0,6.0,49.0,49.0, , ,#6,2.84,70000.0,1986
353,Condominiums,22770.0,1.0,5.0,26.0,26.0, , ,#6,3.8,70000.0,1986
354,Elevator Apartments,105360.0,1.0,6.0,97.0,97.0, , ,#6,7.89,70000.0,1985
355,Walk-Up Apartments,174400.0,1.0,6.0,191.0,191.0, , ,#6,6.3,70000.0,1985
356,Walk-Up Apartments,63750.0,1.0,5.0,75.0,75.0, , ,#6,5.9,70000.0,1984
357,Elevator Apartments,42300.0,2.0,6.0,43.0,44.0, , ,#6,3.6,69350.0,1986
358,Elevator Apartments,136465.0,2.0,6.0,123.0,126.0, , ,#6,6.9,68985.0,1980
359,Walk-Up Apartments,54150.0,1.0,6.0,43.0,43.0, , ,#6,3.34,68985.0,1985
360,Elevator Apartments,61967.0,1.0,6.0,52.0,52.0, , ,#6,4.2,68985.0,1972
361,Walk-Up Apartments,97387.0,1.0,6.0,75.0,75.0, , ,#6,6.3,68730.0,1986
362,Elevator Apartments,80735.0,1.0,6.0,67.0,67.0, ,YES,#6,6.3,68730.0,1985
363,Elevator Apartments,90971.0,1.0,6.0,84.0,85.0, , ,#4,6.3,68730.0,1986
364,Walk-Up Apartments,78576.0,1.0,6.0,84.0,84.0, , ,#6,5.0,68730.0,2008
365,Walk-Up Apartments,74890.0,1.0,6.0,91.0,91.0, , ,#6,6.3,68730.0,1984
366,Elevator Apartments,88184.0,1.0,6.0,74.0,81.0, , ,#6,6.3,68730.0,1986
367,Walk-Up Apartments,79098.0,1.0,6.0,85.0,85.0, , ,#6,6.3,68730.0,1987
368,Elevator Apartments,73692.0,1.0,6.0,75.0,76.0, , ,#6,6.3,68730.0,2001
369,Elevator Apartments,81984.0,1.0,6.0,78.0,78.0, , ,#6,6.3,68730.0,1984
370,Loft Buildings,93000.0,1.0,6.0,89.0,89.0, , ,#4,6.3,68730.0,1984
371,Elevator Apartments,87354.0,1.0,6.0,78.0,78.0, ,YES,#6,6.3,68730.0,1984
372,Elevator Apartments,76822.0,1.0,6.0,85.0,90.0, , ,#4,6.3,68730.0,1983
373,Hospitals & Health,70500.0,1.0,6.0,72.0,72.0, , ,#4,6.3,68730.0,1988
374,Walk-Up Apartments,62088.0,1.0,7.0,68.0,68.0, ,YES,#6,6.3,68730.0,1996
375,Hotels,69166.0,1.0,6.0,55.0,55.0, , ,#6,6.3,68730.0,1986
376,Office Buildings,43500.0,1.0,5.0,46.0,46.0, , ,#6,6.3,68730.0,1986
377,Elevator Apartments,92417.0,1.0,10.0,80.0,81.0, ,YES,#6,8.85,68730.0,1989
378,Elevator Apartments,76009.0,1.0,6.0,84.0,84.0, , ,#6,5.02,68678.0,2003
379,Elevator Apartments,59000.0,1.0,6.0,61.0,65.0, , ,#6,5.2,68437.0,1979
380,Elevator Apartments,68874.0,1.0,6.0,75.0,75.0, , ,#4,8.86,67160.0,1986
381,Elevator Apartments,92988.0,1.0,6.0,86.0,86.0, , ,#4,6.4,67160.0,1986
382,Elevator Apartments,25840.0,1.0,5.0,22.0,22.0, , ,#4,6.4,67160.0,1978
383,Walk-Up Apartments,70110.0,1.0,6.0,79.0,79.0, , ,#6,7.35,67160.0,1982
384,Elevator Apartments,101196.0,1.0,6.0,102.0,102.0, , ,#4,6.9,66992.0,1980
385,Elevator Apartments,132600.0,1.0,6.0,114.0,114.0, , ,#6,8.55,66905.0,1997
386,Elevator Apartments,130570.0,1.0,6.0,100.0,100.0, ,YES,#6,8.55,66904.0,1997
387,Loft Buildings,10700.0,1.0,2.0,0.0,1.0, , ,#4,6.3,65900.0,1970
388,Loft Buildings,69225.0,1.0,6.0,70.0,70.0, , ,#6,5.25,65850.0,1986
389,Walk-Up Apartments,40200.0,1.0,6.0,38.0,38.0, , ,#4,3.7,65700.0,1983
390,Elevator Apartments,122850.0,1.0,11.0,100.0,100.0, , ,#6,6.44,65700.0,1983
391,Office Buildings,97000.0,1.0,6.0,80.0,80.0, , ,#6,6.3,65700.0,1985
392,Walk-Up Apartments,87413.0,1.0,6.0,101.0,103.0, , ,#6,7.28,65700.0,1988
393,Elevator Apartments,82559.0,1.0,6.0,51.0,52.0, ,YES,#6,7.0,65700.0,1988
394,Walk-Up Apartments,83880.0,1.0,6.0,66.0,67.0, ,YES,#6,6.27,65700.0,1998
395,Walk-Up Apartments,151500.0,2.0,6.0,127.0,127.0, , ,#6,7.0,65700.0,1992
396,Walk-Up Apartments,61020.0,1.0,6.0,54.0,54.0, , ,#4,3.4,65700.0,1986
397,Elevator Apartments,75133.0,1.0,6.0,71.0,71.0, , ,#6,6.0,65700.0,1986
398,Elevator Apartments,75121.0,1.0,6.0,62.0,66.0, , ,#6,5.2,65700.0,1985
399,Walk-Up Apartments,192939.0,4.0,5.0,0.0,1.0, , ,#4,7.35,65700.0,1980
400,Office Buildings,39120.0,1.0,4.0,40.0,40.0, , ,#6,8.96,65700.0,1997
401,Asylums & Homes,39120.0,1.0,4.0,40.0,40.0, , ,#6,8.96,65700.0,1997
402,Walk-Up Apartments,111000.0,1.0,8.0,73.0,73.0, ,YES,#6,6.4,65700.0,1985
403,Elevator Apartments,144460.0,1.0,14.0,139.0,139.0, ,YES,#4,7.0,65700.0,1984
404,Walk-Up Apartments,76677.0,2.0,5.0,66.0,66.0, , ,#6,6.27,65700.0,1993
405,Elevator Apartments,84588.0,1.0,6.0,72.0,72.0, , ,#6,6.0,65700.0,1986
406,Walk-Up Apartments,92950.0,1.0,6.0,85.0,85.0, , ,#6,5.8,65700.0,1987
407,Office Buildings,92950.0,1.0,6.0,86.0,86.0, , ,#6,5.8,65700.0,1987
408,Elevator Apartments,106684.0,1.0,6.0,82.0,82.0, ,YES,#6,6.3,65700.0,1988
409,Elevator Apartments,34945.0,1.0,5.0,46.0,51.0, , ,#6,6.3,65700.0,1988
410,Loft Buildings,75288.0,1.0,6.0,68.0,68.0, , ,#6,6.3,65700.0,1985
411,Elevator Apartments,74514.0,1.0,6.0,68.0,68.0, , ,#6,6.3,65700.0,1985
412,Elevator Apartments,30000.0,1.0,6.0,39.0,43.0, , ,#4,2.52,65700.0,1987
413,Elevator Apartments,68610.0,1.0,6.0,73.0,74.0, , ,#6,5.81,65700.0,1997
414,Educational Structures,115597.0,1.0,6.0,89.0,90.0, ,YES,#6,6.44,65700.0,1989
415,Walk-Up Apartments,76500.0,1.0,6.0,54.0,54.0, ,YES,#6,6.27,65700.0,1990
416,Elevator Apartments,129600.0,1.0,6.0,100.0,100.0, ,YES,#6,7.35,65700.0,2001
417,Office Buildings,41005.0,1.0,5.0,54.0,54.0, , ,#4,3.43,65700.0,1985
418,Walk-Up Apartments,137495.0,4.0,5.0,124.0,124.0, , ,#6,6.3,65700.0,1984
419,Elevator Apartments,130500.0,2.0,6.0,120.0,120.0, , ,#6,7.8,65700.0,1984
420,Walk-Up Apartments,147727.0,1.0,12.0,154.0,154.0, , ,#6,8.85,65700.0,2002
421,Condominiums,95500.0,1.0,6.0,78.0,78.0, , ,#6,6.3,65700.0,1983
422,Elevator Apartments,179920.0,1.0,13.0,158.0,158.0, ,YES,#6,7.35,65700.0,2000
423,Elevator Apartments,53560.0,1.0,5.0,59.0,59.0, , ,#4,6.2,65700.0,1991
424,Elevator Apartments,87924.0,1.0,6.0,85.0,85.0, ,YES,#6,6.3,65700.0,1987
425,Factory & Industrial Buildings,154640.0,1.0,20.0,173.0,173.0, ,YES,#6,8.8,65700.0,2005
426,Elevator Apartments,106934.0,1.0,12.0,77.0,77.0, , ,#6,7.0,65700.0,1966
427,Elevator Apartments,112854.0,1.0,6.0,120.0,120.0, , ,#4,6.3,65700.0,1996
428,Elevator Apartments,106512.0,1.0,6.0,110.0,111.0, , ,#6,6.3,65700.0,1996
429,Elevator Apartments,68320.0,1.0,6.0,72.0,73.0, , ,#4,6.23,65700.0,1991
430,Walk-Up Apartments,1405879.0,11.0,1.0,0.0,10.0, , ,#4,20.0,65520.0,2007
431,Elevator Apartments,47247.0,1.0,6.0,59.0,59.0, , ,#4,4.1,65519.0,1983
432,Elevator Apartments,84000.0,1.0,6.0,72.0,74.0, , ,#4,4.7,65519.0,1983
433,Hospitals & Health,49700.0,1.0,5.0,56.0,58.0, , ,#4,3.43,65519.0,1990
434,Walk-Up Apartments,45600.0,1.0,6.0,42.0,42.0, , ,#4,3.43,65519.0,1990
435,Hospitals & Health,83910.0,1.0,6.0,94.0,94.0, , ,#6,6.3,65408.0,1978
436,Educational Structures,79544.0,1.0,6.0,72.0,72.0, , ,#6,6.3,65200.0,1981
437,Walk-Up Apartments,83413.0,1.0,6.0,85.0,85.0, , ,#6,6.0,65152.0,1986
438,Walk-Up Apartments,111500.0,1.0,6.0,91.0,97.0, , ,#6,6.4,65116.0,1986
439,Walk-Up Apartments,96545.0,1.0,6.0,85.0,85.0, , ,#6,6.0,65116.0,1982
440,Elevator Apartments,98312.0,1.0,6.0,100.0,100.0, , ,#6,7.35,65000.0,1984
441,Office Buildings,105846.0,1.0,6.0,73.0,75.0, , ,#6,7.35,65000.0,1983
442,Elevator Apartments,93242.0,1.0,6.0,90.0,91.0, , ,#6,6.4,65000.0,1985
443,Elevator Apartments,61538.0,2.0,12.0,69.0,69.0, ,YES,#6,6.44,65000.0,1986
444,Educational Structures,281965.0,12.0,7.0,0.0,1.0, , ,#4,9.0,64800.0,1984
445,Elevator Apartments,140348.0,1.0,1.0,0.0,2.0, , ,#4,6.4,64240.0,1981
446,Elevator Apartments,40800.0,1.0,6.0,37.0,37.0, , ,#4,2.94,64063.0,1982
447,Condominiums,209542.0,1.0,6.0,172.0,172.0, , ,#6,6.6,64058.0,2007
448,Elevator Apartments,74085.0,1.0,6.0,109.0,116.0, , ,#6,6.6,64058.0,2007
449,Office Buildings,74594.0,1.0,6.0,62.0,67.0, , ,#6,8.4,64058.0,2000
450,Walk-Up Apartments,127000.0,2.0,6.0,128.0,129.0, ,YES,#6,8.4,64058.0,1994
451,Walk-Up Apartments,103284.0,1.0,6.0,92.0,92.0, , ,#6,8.2,64058.0,1992
452,Elevator Apartments,73824.0,1.0,5.0,75.0,76.0, , ,#4,6.65,64057.0,2002
453,Elevator Apartments,130500.0,1.0,6.0,117.0,118.0, , ,#6,8.19,64000.0,1997
454,Elevator Apartments,41060.0,1.0,6.0,53.0,53.0, , ,#4,4.7,63923.0,1983
455,Elevator Apartments,148000.0,1.0,6.0,104.0,104.0, ,YES,#6,4.2,63656.0,1986
456,Elevator Apartments,93000.0,1.0,6.0,101.0,102.0, , ,#6,5.8,63620.0,1983
457,Condominiums,93000.0,1.0,6.0,101.0,103.0, , ,#6,5.8,63620.0,1983
458,Elevator Apartments,73050.0,1.0,6.0,78.0,79.0, , ,#6,6.0,62807.0,1983
459,Office Buildings,59475.0,1.0,6.0,48.0,48.0, , ,#6,4.2,62598.0,1982
460,Condominiums,124772.0,1.0,6.0,102.0,103.0,YES, ,#4,5.54,62415.0,2001
461,Walk-Up Apartments,114941.0,1.0,8.0,85.0,86.0, ,YES,#4,7.1,62415.0,1981
462,Elevator Apartments,51520.0,2.0,5.0,73.0,73.0, , ,#4,5.85,62415.0,2003
463,Condominiums,118000.0,1.0,2.0,0.0,2.0, , ,#4,5.81,62415.0,1990
464,Elevator Apartments,181093.0,2.0,5.0,196.0,196.0, , ,#4,5.0,62000.0,1988
465,Walk-Up Apartments,48000.0,3.0,5.0,46.0,49.0, , ,#6,3.43,62000.0,1986
466,Office Buildings,55800.0,1.0,7.0,50.0,50.0, ,YES,#6,5.25,61594.0,1988
467,Elevator Apartments,58895.0,1.0,5.0,58.0,58.0, , ,#6,5.25,61594.0,1986
468,Elevator Apartments,81600.0,1.0,6.0,63.0,63.0, , ,#6,5.25,61593.0,1987
469,Elevator Apartments,68670.0,1.0,6.0,69.0,69.0, , ,#6,5.6,61380.0,1979
470,Elevator Apartments,75000.0,1.0,6.0,49.0,49.0, ,YES,#4,4.76,61320.0,1998
471,Elevator Apartments,67248.0,1.0,6.0,79.0,79.0, ,YES,#6,5.9,61320.0,1971
472,Elevator Apartments,85680.0,1.0,6.0,62.0,68.0, , ,#6,5.9,61320.0,1985
473,Elevator Apartments,146490.0,1.0,5.0,138.0,142.0, , ,#4,7.8,60775.0,1999
474,Walk-Up Apartments,50115.0,1.0,6.0,49.0,50.0, , ,#6,7.77,60773.0,1998
475,Elevator Apartments,115140.0,1.0,7.0,111.0,120.0, ,YES,#6,6.6,60773.0,2006
476,Walk-Up Apartments,134000.0,1.0,11.0,123.0,123.0, , ,#6,6.6,60773.0,2007
477,Walk-Up Apartments,129555.0,1.0,8.0,87.0,95.0, , ,#6,6.6,60773.0,2006
478,Walk-Up Apartments,112785.0,1.0,5.0,106.0,110.0, , ,#6,7.77,60773.0,2001
479,Elevator Apartments,97846.0,1.0,6.0,92.0,93.0, , ,#6,7.77,60772.0,1995
480,Elevator Apartments,209136.0,1.0,10.0,0.0,1.0, , ,#6,7.77,60772.0,1997
481,Elevator Apartments,85000.0,1.0,7.0,98.0,99.0, , ,#6,5.5,60590.0,2006
482,Elevator Apartments,96480.0,1.0,6.0,78.0,84.0, , ,#6,7.28,60500.0,1984
483,Elevator Apartments,80214.0,1.0,6.0,60.0,60.0, ,YES,#6,7.0,60444.0,1985
484,Office Buildings,40196.0,1.0,6.0,44.0,44.0, , ,#4,2.31,60225.0,1988
485,Elevator Apartments,82956.0,1.0,6.0,85.0,85.0, , ,#4,6.3,60000.0,1991
486,Elevator Apartments,96000.0,1.0,6.0,84.0,84.0, , ,#4,6.0,60000.0,1984
487,Walk-Up Apartments,87642.0,1.0,6.0,87.0,87.0, , ,#4,6.23,60000.0,1989
488,Walk-Up Apartments,66078.0,1.0,6.0,79.0,79.0, , ,#4,6.23,60000.0,1989
489,Elevator Apartments,77748.0,1.0,6.0,79.0,79.0, , ,#6,5.95,60000.0,1986
490,Walk-Up Apartments,174400.0,2.0,6.0,190.0,190.0, ,YES,#6,6.4,60000.0,1983
491,Elevator Apartments,85117.0,1.0,7.0,69.0,69.0, ,YES,#6,6.0,60000.0,1985
492,Educational Structures,88400.0,1.0,6.0,74.0,74.0, ,YES,#6,5.25,60000.0,1990
493,Elevator Apartments,84300.0,1.0,5.0,80.0,80.0, , ,#6,6.0,60000.0,1984
494,Walk-Up Apartments,104000.0,1.0,11.0,79.0,79.0, ,YES,#6,8.4,60000.0,1989
495,Elevator Apartments,87810.0,1.0,6.0,85.0,85.0, , ,#6,6.0,60000.0,1986
496,Elevator Apartments,55087.0,1.0,6.0,62.0,72.0, , ,#6,8.4,60000.0,1989
497,Loft Buildings,89250.0,1.0,6.0,84.0,85.0, , ,#6,6.0,60000.0,1985
498,Loft Buildings,70000.0,1.0,6.0,74.0,74.0, , ,#6,5.0,60000.0,1984
499,Walk-Up Apartments,174400.0,2.0,6.0,190.0,190.0, ,YES,#6,6.4,60000.0,1983
500,Office Buildings,101472.0,1.0,6.0,83.0,83.0, , ,#6,6.9,60000.0,1975
501,Elevator Apartments,22710.0,1.0,5.0,30.0,35.0, , ,#6,5.25,60000.0,1990
502,Condominiums,106050.0,1.0,6.0,122.0,122.0,YES, ,#6,6.44,60000.0,1989
503,Elevator Apartments,88596.0,1.0,6.0,67.0,67.0, , ,#6,5.0,59987.0,1980
504,Walk-Up Apartments,22160.0,1.0,5.0,29.0,30.0, , ,#4,2.1,59860.0,1976
505,Walk-Up Apartments,130130.0,2.0,5.0,152.0,152.0, , ,#6,6.3,59860.0,1985
506,Elevator Apartments,86527.0,1.0,6.0,74.0,74.0, , ,#6,6.27,59860.0,1993
507,Elevator Apartments,78358.0,1.0,6.0,86.0,86.0, , ,#6,6.0,59860.0,1986
508,Educational Structures,122800.0,1.0,6.0,81.0,91.0, , ,#6,6.27,59860.0,1993
509,Walk-Up Apartments,90730.0,2.0,5.0,91.0,98.0, , ,#6,5.9,59541.0,1972
510,Walk-Up Apartments,90000.0,1.0,5.0,78.0,83.0, , ,#6,5.9,59541.0,1972
511,Elevator Apartments,71825.0,3.0,4.0,0.0,1.0, , ,#6,3.3,59350.0,2008
512,Walk-Up Apartments,52800.0,1.0,6.0,48.0,48.0, , ,#4,4.2,59276.0,1980
513,Cultural & Public Assembly,46800.0,1.0,5.0,42.0,42.0, , ,#6,2.8,59276.0,1982
514,Walk-Up Apartments,71091.0,1.0,6.0,72.0,72.0, , ,#6,6.27,59130.0,1992
515,Elevator Apartments,75114.0,1.0,6.0,72.0,72.0, , ,#6,6.3,59130.0,1986
516,Office Buildings,128500.0,1.0,13.0,138.0,138.0, , ,#6,8.4,59108.0,2002
517,Walk-Up Apartments,41250.0,1.0,5.0,47.0,47.0, , ,#4,3.2,58765.0,1972
518,Elevator Apartments,101555.0,1.0,5.0,0.0,3.0, , ,#4,8.19,58500.0,1999
519,Elevator Apartments,80000.0,1.0,6.0,76.0,86.0, , ,#4,6.2,58400.0,1988
520,Elevator Apartments,91314.0,1.0,6.0,90.0,90.0, , ,#4,7.11,58400.0,1998
521,Walk-Up Apartments,60480.0,1.0,6.0,72.0,72.0, , ,#4,6.27,58400.0,1986
522,Loft Buildings,51000.0,1.0,5.0,45.0,46.0, , ,#4,3.0,58400.0,1985
523,Elevator Apartments,67500.0,1.0,6.0,74.0,78.0, , ,#6,4.9,58400.0,1978
524,Walk-Up Apartments,53662.0,1.0,6.0,50.0,55.0, , ,#6,4.2,58400.0,1994
525,Elevator Apartments,63763.0,1.0,6.0,55.0,58.0, ,YES,#6,7.0,58400.0,1985
526,Condominiums,90000.0,1.0,6.0,86.0,86.0, , ,#6,5.6,58400.0,1980
527,Condominiums,61542.0,1.0,6.0,66.0,66.0, , ,#6,4.95,58108.0,1982
528,Walk-Up Apartments,63480.0,1.0,7.0,68.0,75.0, , ,#6,6.3,58000.0,1981
529,Elevator Apartments,69145.0,1.0,5.0,75.0,76.0, , ,#6,6.0,58000.0,1981
530,Elevator Apartments,65832.0,1.0,6.0,61.0,70.0, , ,#6,4.9,58000.0,1982
531,Loft Buildings,60000.0,1.0,5.0,58.0,58.0, , ,#6,2.8,57987.0,1980
532,Elevator Apartments,111875.0,1.0,7.0,109.0,109.0, , ,#4,7.35,57532.0,1996
533,Elevator Apartments,78000.0,1.0,6.0,74.0,74.0, , ,#6,5.3,57488.0,1987
534,Elevator Apartments,70000.0,1.0,6.0,59.0,59.0, , ,#6,5.3,57488.0,1985
535,Walk-Up Apartments,67700.0,1.0,6.0,52.0,58.0, , ,#6,5.3,57488.0,1985
536,Condominiums,69600.0,1.0,6.0,62.0,67.0, , ,#6,5.32,57488.0,1982
537,Elevator Apartments,78000.0,1.0,5.0,63.0,63.0, , ,#6,4.1,57488.0,2007
538,Loft Buildings,70836.0,1.0,6.0,73.0,73.0, ,YES,#6,5.3,57488.0,1988
539,Elevator Apartments,70812.0,1.0,6.0,73.0,73.0, ,YES,#6,5.3,57488.0,1988
540,Elevator Apartments,44270.0,1.0,6.0,54.0,54.0, , ,#6,5.3,57488.0,1984
541,Elevator Apartments,52476.0,1.0,6.0,59.0,61.0, , ,#6,5.25,57488.0,1983
542,Hotels,28500.0,1.0,5.0,26.0,29.0, , ,#4,5.95,57488.0,1979
543,Walk-Up Apartments,96443.0,1.0,6.0,87.0,91.0, , ,#6,5.9,57488.0,1981
544,Walk-Up Apartments,73182.0,1.0,6.0,73.0,73.0, ,YES,#6,5.3,57488.0,1988
545,Loft Buildings,63000.0,1.0,6.0,69.0,69.0, , ,#6,5.3,57488.0,1987
546,Elevator Apartments,46500.0,1.0,6.0,54.0,54.0, , ,#6,5.3,57488.0,1988
547,Elevator Apartments,48753.0,1.0,5.0,59.0,59.0, , ,#4,4.1,57488.0,2007
548,Elevator Apartments,66600.0,1.0,6.0,70.0,70.0, , ,#4,5.3,57488.0,1988
